Distillery;Location;Region;Founded;Owner;Number wash stills;Capacity [l];Number mid stills;Capacity [l];Number spirit stills;Capacity [l];Number column stills;Capacity;Production [l];Water source;Cask type(s);Status;Type;Product Info, More info;Country
Daftmill;Fife;Lowland;2005;Francis and Ian Cuthbert;1;2 500;X;X;1;1 500;X;X;?;Cupar / Daftmill spring;?;Operational;Malt whisky;;Scotland
Dailuaine;Aberlour;Speyside;1852;Diageo;3;18 700;X;X;3;20 500;X;X;3 370 000;The Bailliemullich Burn;?;Operational;Malt whisky;;Scotland
Dalmore;Alness;Highland;1839;Whyte & Mackay;4;16 500, 8 250, 3 630, 4 360;X;X;4;11 000, 7 300, 2 400, 2 900;X;X;4 200 000;Alness river;?;Operational;Malt whisky;12Y , 15Y, 18Y, 25Y, NAS;Scotland
Dalmunach;Carron;Speyside;2015;Chivas Brothers;4;?;X;X;4;?;X;X;10 000 000;Balintomb water supply;?;Operational;Malt whisky;;Scotland
Dalwhinnie;Dalwhinnie;Highland;1898;Diageo;1;17 000;X;X;1;14 000;X;X;1 300 000;Allt an t-Sluic;?;Operational;Malt whisky;;Scotland
Deanston;Doune;Highland;1965;Distell;2;20 000;X;X;2;17 000;X;X;3 000 000;River Teith;?;Operational;Malt whisky;;Scotland
Dornoch;Dornoch;Highland;2016;Dornoch Distillery Company;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Dufftown;Banffshire;Speyside;1895;Diageo;3;?;X;X;3;?;X;X;4 000 000;Jock's Well, Conval Hills Sprin;?;Operational;Malt whisky;;Scotland
Dunphail;Edinkillie, Moray;Speyside;2023;Bimber;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Eden Mill;Fife;Lowland;2012;Paul Miller;?;?;?;?;?;?;X;X;60 000;?;?;Operational;Malt whisky;;Scotland
Edradour;Pitlochry;Highland;1825;Signatory Vintage Scotch Whisky Co;1;4 200;X;X;1;2 200;X;X;95 000;Ben Vrackie Springs;?;Operational;Malt whisky;;Scotland
Falkirk;Falkirk;Lowland;2020;Fiona Stewart;?;?;?;?;?;?;X;X;200 000;?;?;Operational;Malt whisky;;Scotland
Fettercairn;Fettercairn;Highland;1824;Whyte & Mackay;2;12 800;X;X;2;12 800;X;X;2 200 000;Sources on the Grampian mountains;?;Operational;Malt whisky;;Scotland
Glasgow;Glasgow;Lowland;2015;The Glasgow Distillery Company;2;?;X;X;2;?;X;X;440 000;Loch Katrine;?;Operational;Malt whisky;;Scotland
Glenallachie;Banffshire;Speyside;1967;The GlenAllachie Distillers Co Limited;2;?;X;X;2;?;X;X;4 000 000;Sources on Ben Rinnes;?;Operational;Malt whisky;;Scotland
Glenburgie;Moray;Speyside;1810;Chivas Brothers;3;11 750;X;X;3;15 000;X;X;4 200 000;?;?;Operational;Malt whisky;;Scotland
Glencadam;Angus;Highland;1825;Angus Dundee Distiller;1;14 000;X;X;1;14 000;X;X;1 500 000;River South Esk;?;Operational;Malt whisky;;Scotland
Glendronach;Aberdeenshire;Highland;1826;Brown-Forman;2;13 635;X;X;2;6 800;X;X;1 300 000;Dronac Burn;?;Operational;Malt whisky;;Scotland
Glendullan;Banffshire;Speyside;1897;Diageo;3;?;X;X;3;?;X;X;3 700 00;Goats Well Spring;?;Operational;Malt whisky;;Scotland
Glen Elgin;Fogwatt, Moray;Speyside;1898;Diageo;3;7 000;X;X;3;8 000;X;X;1 830 000;Millbuies Loch Springs;?;Operational;Malt whisky;;Scotland
Glenfarclas;Ballindalloch;Speyside;1836;J. & G. Grant;3;29600;X;X;3;25000;X;X;4 000 000;Ben Rinnes;?;Operational;Malt whisky;;Scotland
Glenfiddich;Dufftown;Speyside;1886;William Grant & Sons;16;?;X;X;27;?;X;X;21 000 000;The Robbie Dhu Spring;?;Operational;Malt whisky;;Scotland
Glen Garioch;Oldmeldrum;Highland;1797;Suntory Global Spirits;2;20000+10000;X;X;2;11000;X;X;1 000 000;The Silent Spring of Coutens Farm;?;Operational;Malt whisky;;Scotland
Glenglassaugh;Portsoy;Highland;1875;Brown-Forman;1;?;X;X;1;?;X;X;1 000 000;Glassaugh Spring;?;Operational;Malt whisky;;Scotland
Glengoyne;Dumgoyne;Highland;1833;Ian Macleod Distillers;1;?;X;X;2;?;X;X;1 100 000;Stream water from Dumgoyne Hill;"80% refill
20% first fill sherry wood";Operational;Malt whisky;Glengoyne Single Malt;Scotland
Glen Grant;Rothes;Speyside;1840;Campari;4;15 000;X;X;4;9 600;X;X;5 900 000;The Glen Grant burn;?;Operational;Malt whisky;;Scotland
Glengyle;Campbeltown;Campbeltown;1872;Mitchell's Glengyle Ltd;1;?;X;X;1;?;X;X;750 000;Crosshill Loch;?;Operational;Malt whisky;;Scotland
Glen Keith;Keith;Speyside;1957;Chivas Brothers;3;?;X;X;3;?;X;X;3 500 000;Balloch Hill.;?;Operational;Malt whisky;;Scotland
Glenkinchie;Pencaitland;Lowland;1837;Diageo;1;30 963;X;X;1;20 998;X;X;2 700 000;Lammermuir Hills Burns;?;Operational;Malt whisky;;Scotland
Glenlivet;Ballindalloch;Speyside;1824;Chivas Brothers;7;15 000;X;X;7;10 000;X;X;10 500 000;    Josie's WellBlairfindy Well;    BourbonFrench oak;Operational;Malt whisky;The Glenlivet;Scotland
Glenlossie;Elgin;Speyside;1876;Diageo;3;15 600;X;X;3;13 500;X;X;1 100 000;The Bardon Burn;?;Operational;Malt whisky;;Scotland
Glenmorangie;Tain;Highland;1843;LVMH;6;?;X;X;6;?;X;X;6 500 000;Tarlogie Springs in the Tarlogie Hills;?;Operational;Malt whisky;;Scotland
Glen Moray;Elgin;Speyside;1897;La Martiniquaise;3;?;X;X;6;?;X;X;3 300 000;River Lossie;?;Operational;Malt whisky;;Scotland
Glen Ord;Muir of Ord;Highland;1838;Diageo;7;17 000;X;X;7;16 000;X;X;12 000 000;"Loch nam Bonnach
Loch nan Eun form the White Burn";?;Operational;Malt whisky;;Scotland
Glenrothes;Rothes;Speyside;1879;Edrington;5;?;X;X;5;?;X;X;5 200 000;Spring on site;Whisky Maker's Cut, Bourbon Cask Reserve, Other Vintages and Reserves;Operational;Malt whisky;The Glenrothes;Scotland
Glen Scotia;Campbeltown;Campbeltown;1832;Loch Lomond Group;1;16 000;X;X;1;12 000;X;X;600 000;Crosshill Loch;?;Operational;Malt whisky;;Scotland
Glen Spey;Rothes;Speyside;1878;Diageo;2;12 000;X;X;2;7 500;X;X;1 400 000;Donnie Burn;?;Operational;Malt whisky;;Scotland
Glentauchers;Mulben;Speyside;1897;Chivas Brothers;3;?;X;X;3;?;X;X;4 500 000;Rosarie Burn;?;Operational;Malt whisky;;Scotland
Glenturret;Crieff;Highland;1763;Lalique Group;1;?;X;X;1;?;X;X;340 000;Loch Turret in Glenturret;Oak;Operational;Malt whisky;The Glenturret;Scotland
GlenWyvis;Dingwall;Highland;2015;GlenWyvis Distillery Ltd.;2;?;X;X;2;?;X;X;?;?;"European Sherry Hogshead, American Oak Refill Hogshead, American Standard Barrel, European Sherry Quarter
European Sherry Firki";Operational;Malt whisky;;Scotland
Harris;Tarbert;Island;2015;Isle of Harris Distillers Ltd.;1;?;X;X;1;?;X;X;230 000;Abhainn Cnoc a’Charrainn;?;Operational;Malt whisky;;Scotland
Highland Park;Kirkwall;Island;1798;Edrington;2;?;X;X;2;?;X;X;2 500 000;?;?;Operational;Malt whisky;;Scotland
Holyrood;Edinburgh;Lowland;2019;David Robertson;1;?;X;X;1;?;X;X;53 000;?;?;Operational;Malt whisky;;Scotland
Inchdairnie;Glenrothes;Lowland;2015;John Fergus & Co.;1;?;X;x;1;?;X;X;2 000 000;?;Flowers of May and Goathill springs;Operational;Malt whisky;;Scotland
Inchgower;Buckie;Speyside;1871;Diageo;2;?;X;X;2;?;X;X;1 990 000;Menduff Hills springs;?;Operational;Malt whisky;;Scotland
Jackton;Jackton;Lowland;2020;RAER Spirits;;;;;;;X;X;;;?;Operational;Malt whisky;;Scotland
Jura;Craighouse, Jura;Island;1810;Whyte & Mackay;2;24 500;X;X;2;15 500;X;X;2 500 000;Loch a’Bhaile Mhargaidh;?;Operational;Malt whisky;;Scotland
Kilchoman;Kilchoman;Islay;2005;Kilchoman Distillery Company;2;?;X;X;2;?;X;X;500 000;Small dam close to distillery;?;Operational;Malt whisky;3 Years 5 Years 8 Years 10 Years 11 Years;Scotland
Kingsbarns;Kingsbarns;Lowland;2014;The Kingsbarns Company of Distillers;1;?;X;X;1;?;X;X;200 000;Borehole;?;Operational;Malt whisky;;Scotland
Kininvie;Dufftown;Speyside;1990;William Grant & Sons;3;?;X;X;6;?;X;X;?;Conval Hills;?;Operational;Malt whisky;;Scotland
Knockando;Knockando;Speyside;1898;Diageo;2;?;X;X;2;?;X;X;1 800 000;The Cardnach Spring;?;Operational;Malt whisky;;Scotland
Knockdhu;Knock;Speyside;1894;Inver House Distillers;1;?;X;X;1;?;X;X;1 700 000;Spring water from Knock Hill;American White Oak, Ex-Bourbon Casks (Main);Operational;Malt whisky;;Scotland
Lagg;Lagg;Island;2019;Isle of Arran Distillers Ltd.;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Lagavulin;Port Ellen;Islay;1816;Diageo;2;11 000;X;X;2;12 500;X;X;1 400 000;Solum Lochs;?;Operational;Malt whisky;;Scotland
Laphroaig;Port Ellen;Islay;1815;Suntory Global Spirits;3;?;X;X;4;?;X;X;3 300 000;The Kilbride Dam;?;Operational;Malt whisky;;Scotland
Leven;Leven;Lowland;2013;Diageo;1;1 000;X;X;1;1 000;X;X;250 000; Town supply;?;Operational;Malt whisky;;Scotland
Lindores Abbey;Newburgh;Lowland;2017;Lindores Distilling Co.;1;?;X;X;2;?;X;X;260 000;Borehole;?;Operational;Malt whisky;;Scotland
Linkwood;Elgin;Speyside;1821;Diageo;3;?;X;X;3;?;X;X;2 500 000;springs near Milbuies Loch;?;Operational;Malt whisky;;Scotland
Lochlea;Ayrshire;Lowland;2018;Independent;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Loch Lomond;Alexandria;Highland;1964;Loch Lomond Group;4;?;X;X;4;?;3;?;3 000 000;Borehole;?;Operational;Malt whisky;3 Column stills;Scotland
Lone Wolf;Ellon;Highland;2016;BrewDog;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Longmorn;Elgin;Speyside;1893;Chivas Brothers;4;?;X;X;4;?;X;X;3 500 000;Local Springs;?;Operational;Malt whisky;;Scotland
Macallan;Craigellachie;Speyside;1824;Edrington;12;13 000;X;X;24;3 900;X;X;15 000 000;River Spey;Sherry (both American & European oak) and Bourbon (American oak);Operational;Malt whisky;;Scotland
Macduff;Banff;Highland;1960;John Dewar & Sons;2;?;X;X;3;?;X;X;2 400 000;Local;?;Operational;Malt whisky;;Scotland
Mannochmore;Elgin;Speyside;1971;Diageo;3;14 400;X;X;3;17 000;X;X;3 200 000;Bardon Burn;?;Operational;Malt whisky;;Scotland
Miltonduff;Elgin;Speyside;1824;Chivas Brothers;3;18 000;X;X;3;18 000;X;X;5 800 000;Local spring;?;Operational;Malt whisky;;Scotland
Mortlach;Dufftown;Speyside;1823;Diageo;3;?;X;X;3;?;X;X;3 700 000;Dykehead Catsvraig;?;Operational;Malt whisky;;Scotland
Nc’nean;Lochlaline;Highland;2017;Drimnin Distillery Company;1;?;X;X;1;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
North Uist;Benbecula;Island;2024;North Uist Distillery Company;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Oban;Oban;Highland;1794;Diageo;1;?;X;X;1;?;X;X;670 000;Two lochs in Ardconnel;?;Operational;Malt whisky;;Scotland
Port Ellen;Port Ellen;Islay;1825;Diageo;2;?;X;X;2;?;X;X;2 700 000;Leorin Lochs;?;Operational;Malt whisky;;Scotland
Port of Leith;Edinburgh;Lowland;2023;Muckle Brig;1;?;X;X;1;?;X;X;400 000;?;?;Operational;Malt whisky;;Scotland
Pulteney;Wick;Highland;1826;Inver House Distillers;1;16 100;X;X;1;13 200;X;X;1 000 000;Loch Hempriggs;?;Operational;Malt whisky;;Scotland
Raasay;Isle of Raasay;Island;2014;R&B Distillers;1;?;X;X;1;?;X;X;940 000;Tobar na ba baine spring and borehole;?;Operational;Malt whisky;;Scotland
Rosebank;Falkirk;Lowland;1798;Ian Macleod Distillers;2;?;X;X;1;?;X;X;?;Carron Valley Reservoir;?;Operational;Malt whisky;Rosebank;Scotland
Roseisle;Roseisle;Speyside;2010;Diageo;7;?;X;X;7;?;X;X;10 000 000;Borehole;?;Operational;Malt whisky;;Scotland
Royal Brackla;Nairn;Highland;1812;John Dewar & Sons;2;?;X;X;2;?;X;X;3 500 000;Cawdor Burn, Cursack Springs and Airfield supply;?;Operational;Malt whisky;;Scotland
Royal Lochnagar;Ballater;Highland;1845;Diageo;1;6 700;X;X;1;3 720;X;X;450 000;Springs in the hills of Lochnagar;?;Operational;Malt whisky;;Scotland
Saxa Vord;Unst;Island;2015;Shetland Distillery Company;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Scapa;Kirkwall;Island;1885;Chivas Brothers;1;?;X;X;1;?;X;X;1 000 000;Lingro Burn;?;Operational;Malt whisky;Scapa Glansa, Skiren;Scotland
Speyburn;Rothes;Speyside;1897;Inver House Distillers;1;?;X;X;1;?;X;X;1 000 000;Granty Burn;?;Operational;Malt whisky;;Scotland
Speyside;Drumguish;Speyside;1990;Harvey's of Edinburgh Ltd.;1;?;X;X;1;?;X;X;600 000;River Tromie;?;Operational;Malt whisky;;Scotland
Springbank;Campbeltown;Campbeltown;1828;J&A Mitchell & Company;1;10 000;X;X;2;6 000;X;X;750 000;Crosshill Loch;Bourbon, Sherry, Wine, Rum, Calvados;Operational;Malt whisky;Springbank, Longrow, Hazelburn;Scotland
Strathearn;Methven;Highland;2013;Douglas Laing & Co.;1;?;X;X;1;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Strathisla;Keith;Speyside;1786;Chivas Brothers;2;?;X;X;2;?;X;X;2 400 000;?;?;Operational;Malt whisky;;Scotland
Strathmill;Keith;Speyside;1891;Diageo;2;?;X;X;2;?;X;X;1 800 000;Local springs;?;Operational;Malt whisky;;Scotland
Talisker;Carbost, Isle of Skye;Island;1830;Diageo;2;10 000;X;X;3;7 479;X;X;2 600 000;Carbost / Cnoc nan Speireag (Hawk Hill);?;Operational;Malt whisky;Talisker;Scotland
Tamdhu;Knockando;Speyside;1897;Ian Macleod Distillers;3;?;X;X;3;?;X;X;4 500 000;?;?;Operational;Malt whisky;;Scotland
Tamnavulin;Tomnavoulin;Speyside;1966;Whyte & Mackay;3;?;X;X;3;?;X;X;4 000 000;Springs in Easterton;?;Operational;Malt whisky;;Scotland
Teaninich;Alness;Highland;1817;Diageo;6;?;X;X;6;?;X;X;2 300 000;Dairywell spring;?;Operational;Malt whisky;;Scotland
Tobermory;Tobermory, Isle of Mull;Island;1798;Distell;2;?;X;X;2;?;X;X;1 000 000;?;?;Operational;Malt whisky;Tobermory 12, Tobermory 21, Ledaig 10, Ledaig 18;Scotland
Tomatin;Tomatin;Highland;1897;Takara Shuzo Co;6;?;X;X;6;?;X;X;5 050 000;Allt na Fr?the;?;Operational;Malt whisky;Tomatin, C? B?can, Antiquary, Talisman;Scotland
Tomintoul;Ballindalloch;Speyside;1964;Angus Dundee Distiller;2;?;X;X;2;?;X;X;2 200 000;Ballantruan spring;?;Operational;Malt whisky;Tomintoul, Tomintoul Peaty Tang;Scotland
Torabhaig;Teangue, Isle of Skye;Island;2017;Mossburn Distillers;1;?;X;X;1;?;X;X;500 000;Allt Gleann Thorabhaig and the Allt Breacach;?;Operational;Malt whisky;;Scotland
Tormore;Grantown-on-Spey;Speyside;1958;Elixir Distillers;4;?;X;X;4;?;X;X;3 700 00;?;?;Operational;Malt whisky;;Scotland
Tullibardine;Blackford;Highland;1949;Picard Vins & Spiritueux;2;?;X;X;2;?;X;X;2 700 000;Ochil Hills, Danny Burn;?;Operational;Malt whisky;;Scotland
Uile-bheist;Inverness;Highland;2023;Victoria and John Erasmus;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Wolfburn;Thurso;Highland;1822;Aurora Brewing;1;?;X;X;1;?;X;X;125 000;Wolf Burn;American Oak Bourbon, Oak Quarter Cask, Bourbon Hogsheads, Oloroso sherry;Operational;Malt whisky;;Scotland
8 Doors;John O’Groats;Highland;2022;Kerry and Derek Campbell;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Cameronbridge;Fife;?;1824;Diageo;X;X;X;X;X;X;3;?;136 000 000;River Leven;?;Operational;Grain whisky;;Scotland
Girvan;Girvan;?;1963;William Grant & Sons;X;X;X;X;X;X;5;?;115 000 000;River Girvan;?;Operational;Grain whisky;;Scotland
Invergordon;Easter Ross;?;1959;Whyte & Mackay;X;X;X;X;X;X;3 Coffey;?;36 000 000; Loch Glass;?;Operational;Grain whisky;3 coffey stills;Scotland
Loch Lomond;Alexandria;?;1964;Loch Lomond Group;4;?;X;X;4;?;3;?;20 000 000;Borehole;?;Operational;Grain whisky;;Scotland
North British;Edinburgh;?;1885;Diageo/Edrington;X;X;X;X;X;X;?;?;?;;?;Operational;Grain whisky;;Scotland
Starlaw;Livingston;?;2010;La Martiniquaise;X;X;X;X;X;X;5;?;25 000 000;?;?;Operational;Grain whisky;;Scotland
Strathclyde;Glasgow;?;1927;Chivas Brothers;X;X;X;X;X;X;2;?;40 000 000;;?;Operational;Grain whisky;;Scotland
Adelphi;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1907, demolished 1970;Scotland
Albyn;Millknowe;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1920, demolished 1929;Scotland
Ardgowan;Greenock;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1952, plans for the distillery to reopen in 2025;Scotland
Ardlussa;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Argyll;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1923, demolished;Scotland
Auchinblae;Auchenblae;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1929, demolished;Scotland
Auchnagie;Tulliemet;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1911, demolished;Scotland
Auchtermuchty;Auchtermuchty;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, buildings have remained intact;Scotland
Auchtertool;Auchtertool;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Ballechin;Pitlochry;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Banff;Banff;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1991;Scotland
Bankier;Denny;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1928, demolished 1981;Scotland
Benachie;Insch;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Benmore;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, buildings have remained intact;Scotland
Ben Morven;Halkirk;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1914, demolished;Scotland
Ben Wyvis;Dingwall;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1977, demolished 1977;Scotland
